"Complete Payment","Concluir Pagamento",""
"optional","opcional",""
"Payment Method","Método de Pagamento",""
"Refund Amount","Valor do Reembolso",""
"Enter amount...","Digite o valor...",""
"Total Amount","Valor Total",""
"Remaining","Pendente",""
"Change","Troco",""
"Paid in Full","Pago Integralmente",""
"Paid Amount","Valor Pago",""
"Paid: {0}","Pago: {0}",""
"Customer Credit Available","Crédito do Cliente Disponível",""
"Customer Outstanding Balance","Saldo Devedor do Cliente",""
"Credit can be applied to invoice","O Crédito pode ser aplicado na fatura",""
"Amount owed by customer","Valor devido pelo cliente",""
"No outstanding balance","Sem saldo devedor",""
"Save","Salvar",""
"Cancel","Cancelar",""
"Submit","Enviar",""
"Delete","Excluir",""
"Edit","Editar",""
"Search","Buscar",""
"Close","Fechar",""
"Confirm","Confirmar",""
"Yes","Sim",""
"No","Não",""
"Loading...","Carregando...",""
"Error","Erro",""
"Success","Sucesso",""
"Warning","Aviso",""
"Information","Informação",""
"Add Item","Adicionar Item",""
"Select Customer","Selecionar Cliente",""
"Create Customer","Cadastrar Cliente",""
"Discount","Desconto",""
"Tax","Imposto",""
"Total","Total",""
"Checkout","Finalizar Venda",""
"Clear Cart","Limpar Carrinho",""
"Hold Invoice","Suspender Fatura",""
"Print Receipt","Imprimir Comprovante",""
"No stock available","Sem estoque disponível",""
"Item added to cart","Item adicionado ao carrinho",""
"Item removed from cart","Item removido do carrinho",""
"Open Shift","Abrir Turno",""
"Close Shift","Fechar Turno",""
"Shift Opening","Abertura do Turno",""
"Shift Closing","Fechamento do Turno",""
"Opening Amount","Valor de Abertura",""
"Closing Amount","Valor de Fechamento",""
"Cash in Hand","Dinheiro em Caixa",""
"Expected Amount","Valor Esperado",""
"Difference","Diferença",""
"Draft Invoices","Faturas Rascunho",""
"Invoice History","Histórico de Faturas",""
"Offline Invoices","Faturas Offline",""
"Return Invoice","Fatura de Devolução",""
"Invoice Number","Número da Fatura",""
"Date","Data",""
"Customer","Cliente",""
"Amount","Valor",""
"Status","Status",""
"Paid","Pago",""
"Unpaid","Não Pago",""
"Partially Paid","Parcialmente Pago",""
"Credit Note Issued","Nota de Crédito Emitida",""
"Cancelled","Cancelada",""
"Draft","Rascunho",""
"Settings","Configurações",""
"General","Geral",""
"Appearance","Aparência",""
"Language","Idioma",""
"Select Language","Selecionar Idioma",""
"Theme","Tema",""
"Notifications","Notificações",""
"Receipt Settings","Configurações de Comprovante",""
"Hardware","Hardware",""
"POS Profile","Perfil do PDV",""
"Network connection error","Erro de conexão de rede",""
"Session expired, please login again","Sessão expirada, faça login novamente",""
"Insufficient stock for {0}","Estoque insuficiente para {0}",""
"Invalid quantity","Quantidade inválida",""
"Please select a customer","Por favor, selecione um cliente",""
"Payment processing failed","Falha no processamento do pagamento",""
"An unexpected error occurred","Ocorreu um erro inesperado",""
"This field is required","Este campo é obrigatório",""
"Minimum length is {0} characters","O tamanho mínimo é de {0} caracteres",""
"Maximum length is {0} characters","O tamanho máximo é de {0} caracteres",""
"Please enter a valid email address","Por favor, insira um endereço de e-mail válido",""
"Please enter a valid phone number","Por favor, insira um número de telefone válido",""
"Please enter a valid number","Por favor, insira um número válido",""
"Value must be positive","O valor deve ser positivo",""
"Customer Credit","Crédito do Cliente",""
"Available Credit","Crédito Disponível",""
"Payment Methods","Métodos de Pagamento",""
"Cash","Dinheiro",""
"Card","Cartão",""
"Wallet","Carteira Digital",""
"Bank Transfer","Transferência Bancária",""
"Item","Item",""
"Items","Itens",""
"Quantity","Quantidade",""
"Price","Preço",""
"Subtotal","Subtotal",""
"Grand Total","Total Geral",""
"Apply","Aplicar",""
"Apply Coupon","Aplicar Cupom",""
"Coupon Code","Código do Cupom",""
"Remove","Remover",""
"Add","Adicionar",""
"Update","Atualizar",""
"Refresh","Atualizar",""
"Reload","Recarregar",""
"Print","Imprimir",""
"Download","Baixar",""
"Upload","Carregar",""
"Import","Importar",""
"Export","Exportar",""
"Filter","Filtrar",""
"Sort","Ordenar",""
"Ascending","Crescente",""
"Descending","Decrescente",""
"All","Todos",""
"None","Nenhum",""
"Select All","Selecionar Todos",""
"Deselect All","Desselecionar Todos",""
"Name","Nome",""
"Email","E-mail",""
"Phone","Telefone",""
"Address","Endereço",""
"City","Cidade",""
"State","Estado",""
"Country","País",""
"Postal Code","CEP",""
"Notes","Observações",""
"Description","Descrição",""
"Category","Categoria",""
"Type","Tipo",""
"Unit","Unidade",""
"Stock","Estoque",""
"Available","Disponível",""
"Out of Stock","Esgotado",""
"Low Stock","Baixo Estoque",""
"In Stock","Em Estoque",""
"Barcode","Código de Barras",""
"SKU","SKU",""
"Image","Imagem",""
"Gallery","Galeria",""
"Product","Produto",""
"Products","Produtos",""
"Service","Serviço",""
"Services","Serviços",""
"Order","Pedido",""
"Orders","Pedidos",""
"Invoice","Fatura",""
"Invoices","Faturas",""
"Payment","Pagamento",""
"Payments","Pagamentos",""
"Receipt","Comprovante",""
"Receipts","Comprovantes",""
"Refund","Reembolso",""
"Refunds","Reembolsos",""
"Return","Devolução",""
"Returns","Devoluções",""
"Exchange","Troca",""
"Exchanges","Trocas",""
"Sale","Venda",""
"Sales","Vendas",""
"Purchase","Compra",""
"Purchases","Compras",""
"Report","Relatório",""
"Reports","Relatórios",""
"Dashboard","Painel",""
"Home","Início",""
"Profile","Perfil",""
"Account","Conta",""
"Logout","Sair",""
"Login","Acessar",""
"Sign In","Entrar",""
"Sign Up","Cadastrar",""
"Register","Registrar",""
"Password","Senha",""
"Username","Nome de Usuário",""
"Remember Me","Lembrar de Mim",""
"Forgot Password?","Esqueceu a Senha?",""
"Reset Password","Redefinir Senha",""
"Change Password","Alterar Senha",""
"Old Password","Senha Antiga",""
"New Password","Nova Senha",""
"Confirm Password","Confirmar Senha",""
"Today","Hoje",""
"Yesterday","Ontem",""
"This Week","Esta Semana",""
"Last Week","Semana Passada",""
"This Month","Este Mês",""
"Last Month","Mês Passado",""
"This Year","Este Ano",""
"Last Year","Ano Passado",""
"Custom Range","Período Personalizado",""
"From","De",""
"To","Até",""
"Start Date","Data de Início",""
"End Date","Data de Fim",""
"Time","Hora",""
"Hour","Hora",""
"Hours","Horas",""
"Minute","Minuto",""
"Minutes","Minutos",""
"Second","Segundo",""
"Seconds","Segundos",""
"Day","Dia",""
"Days","Dias",""
"Week","Semana",""
"Weeks","Semanas",""
"Month","Mês",""
"Months","Meses",""
"Year","Ano",""
"Years","Anos",""
"Are you sure?","Tem certeza?",""
"This action cannot be undone","Esta ação não pode ser desfeita",""
"Confirm Delete","Confirmar Exclusão",""
"Confirm Action","Confirmar Ação",""
"Processing...","Processando...",""
"Please wait...","Por favor, aguarde...",""
"Saving...","Salvando...",""
"Loading data...","Carregando dados...",""
"No data available","Sem dados disponíveis",""
"No results found","Nenhum resultado encontrado",""
"Search results","Resultados da busca",""
"Showing {0} to {1} of {2} entries","Exibindo {0} a {1} de {2} registros",""
"Page","Página",""
"Previous","Anterior",""
"Next","Próximo",""
"First","Primeira",""
"Last","Última",""
"per page","por página",""
"View","Visualizar",""
"View Shift","Visualizar Turno",""
"View Details","Ver Detalhes",""
"Edit Details","Editar Detalhes",""
"Copy","Copiar",""
"Duplicate","Duplicar",""
"Archive","Arquivar",""
"Restore","Restaurar",""
"Move","Mover",""
"Rename","Renomear",""
"Share","Compartilhar",""
"Download PDF","Baixar PDF",""
"Send Email","Enviar E-mail",""
"Print Invoice","Imprimir Fatura",""
"Email Invoice","Enviar Fatura por E-mail",""
"Mark as Paid","Marcar como Pago",""
"Mark as Unpaid","Marcar como Não Pago",""
"Payment Received","Pagamento Recebido",""
"Payment Pending","Pagamento Pendente",""
"Payment Failed","Pagamento Falhou",""
"Completed","Concluído",""
"Pending","Pendente",""
"Processing","Em Processamento",""
"Cancelled","Cancelado",""
"Refunded","Reembolsado",""
"Draft","Rascunho",""
"Submitted","Enviado",""
"Approved","Aprovado",""
"Rejected","Rejeitado",""
"Active","Ativo",""
"Inactive","Inativo",""
"Enabled","Habilitado",""
"Disabled","Desabilitado",""
"Online","Online",""
"Offline","Offline",""
"Connected","Conectado",""
"Disconnected","Desconectado",""
"Synced","Sincronizado",""
"Not Synced","Não Sincronizado",""
"Syncing...","Sincronizando...",""
"Last Sync","Última Sincronização",""
"Sync Now","Sincronizar Agora",""
"Auto Sync","Sincronização Automática",""
"Manual Sync","Sincronização Manual",""
"Clear Cache","Limpar Cache",""
"Reset Settings","Redefinir Configurações",""
"Restore Defaults","Restaurar Padrões",""
"About","Sobre",""
"Help","Ajuda",""
"Support","Suporte",""
"Documentation","Documentação",""
"Version","Versão",""
"License","Licença",""
"Privacy Policy","Política de Privacidade",""
"Terms of Service","Termos de Serviço",""
"Contact Us","Fale Conosco",""
"Feedback","Feedback",""
"Rate Us","Avalie-nos",""
"More","Mais",""
"Less","Menos",""
"Show More","Mostrar Mais",""
"Show Less","Mostrar Menos",""
"Expand","Expandir",""
"Collapse","Recolher",""
"Full Screen","Tela Cheia",""
"Exit Full Screen","Sair da Tela Cheia",""
"Shift Open:","Turno Aberto:",""
"Offline ({0} pending)","Offline ({0} pendente)",""
"Online - Click to sync","Online - Clique para sincronizar",""
"Offline mode active","Modo offline ativo",""
"Online mode active","Modo online ativo",""
"Cache","Cache",""
"Items:","Itens:",""
"Last Sync:","Última Sincronização:",""
"Status:","Status:",""
"Auto-Sync:","Sincronização Automática:",""
"Refreshing...","Atualizando...",""
"Refresh Items","Atualizar Itens",""
"Refreshing items...","Atualizando itens...",""
"Refresh items list","Atualizar lista de itens",""
"Empty","Vazio",""
"Syncing","Sincronizando",""
"Ready","Pronto",""
"Never","Nunca",""
"Cache empty","Cache vazio",""
"Cache syncing","Cache sincronizando",""
"Cache ready","Cache pronto",""
"Access your point of sale system","Acesse seu sistema de ponto de venda",""
"Your cart is empty","Seu carrinho está vazio",""
"Cart Items","Itens do Carrinho",""
"Clear","Limpar",""
"Last 7 Days","Últimos 7 Dias",""
"Last 30 Days","Últimos 30 Dias",""
"All Status","Todos os Status",""
"Partly Paid","Parcialmente Pago",""
"Overdue","Vencido",""
"Negative Stock","Estoque Negativo",""
"Cart","Carrinho",""
"Welcome to POS Next","Bem-vindo(a) ao POS Next",""
"Please open a shift to start making sales","Por favor, abra um turno para começar a fazer vendas",""
"Clear Cart?","Limpar Carrinho?",""
"Remove all {0} items from cart?","Remover todos os {0} itens do carrinho?",""
"Clear All","Limpar Tudo",""
"Sign Out Confirmation","Confirmação de Saída",""
"Your Shift is Still Open!","Seu Turno Ainda Está Aberto!",""
"Close your shift first to save all transactions properly","Feche seu turno primeiro para salvar todas as transações corretamente",""
"Close Shift & Sign Out","Fechar Turno e Sair",""
"Skip & Sign Out","Ignorar e Sair",""
"Sign Out?","Sair?",""
"You will be logged out of POS Next","Você será desconectado(a) do POS Next",""
"Sign Out","Sair",""
"Signing Out...","Saindo...",""
"Invoice Created Successfully","Fatura Criada com Sucesso",""
"Invoice {0} created successfully!","Fatura {0} criada com sucesso!",""
"Total: {0}","Total: {0}",""
"An unexpected error occurred.","Ocorreu um erro inesperado.",""
"Delete Invoice","Excluir Fatura",""
"Try Again","Tentar Novamente",""
"Tax mode updated. Cart recalculated with new tax settings.","Modo de imposto atualizado. Carrinho recalculado com as novas configurações de imposto.",""
"Discount settings changed. Cart recalculated.","Configurações de desconto alteradas. Carrinho recalculado.",""
"Prices are now tax-inclusive. This will apply to new items added to cart.","Os preços agora incluem impostos. Isso será aplicado a novos itens adicionados ao carrinho.",""
"Prices are now tax-exclusive. This will apply to new items added to cart.","Os preços agora não incluem impostos (tax-exclusive). Isso será aplicado a novos itens adicionados ao carrinho.",""
"Negative stock sales are now allowed","Vendas com estoque negativo agora são permitidas",""
"Negative stock sales are now restricted","Vendas com estoque negativo agora são restritas",""
"Credit Sale","Venda a Crédito",""
"Write Off Change","Baixa de Troco",""
"Partial Payment","Pagamento Parcial",""
"Silent Print","Impressão Silenciosa",""
"{0} settings applied immediately","Configurações de {0} aplicadas imediatamente",""
"You can now start making sales","Você já pode começar a fazer vendas",""
"Shift closed successfully","Turno fechado com sucesso",""
"Insufficient Stock","Estoque Insuficiente",""
"Item: {0}","Item: {0}",""
"""{0}"" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","""{0}"" não pode ser adicionado ao carrinho. O pacote está esgotado. Estoque Negativo Permitido está desabilitado.",""
"""{0}"" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","""{0}"" não pode ser adicionado ao carrinho. O item está esgotado. Estoque Negativo Permitido está desabilitado.",""
"{0} selected","{0} selecionado(s)",""
"Please add items to cart before proceeding to payment","Por favor, adicione itens ao carrinho antes de prosseguir para o pagamento",""
"Please select a customer before proceeding","Por favor, selecione um cliente antes de prosseguir",""
"Invoice saved offline. Will sync when online","Fatura salva offline. Será sincronizada quando estiver online",""
"Unknown","Desconhecido",""
"Invoice {0} created and sent to printer","Fatura {0} criada e enviada para a impressora",""
"Invoice {0} created but print failed","Fatura {0} criada, mas a impressão falhou",""
"Invoice {0} created successfully","Fatura {0} criada com sucesso",""
"All items removed from cart","Todos os itens removidos do carrinho",""
"{0} added to cart","{0} adicionado(s) ao carrinho",""
"{0} ({1}) added to cart","{0} ({1}) adicionado(s) ao carrinho",""
"Failed to process selection. Please try again.","Falha ao processar a seleção. Por favor, tente novamente.",""
"Return invoice {0} created successfully","Fatura de devolução {0} criada com sucesso",""
"Creating return for invoice {0}","Criando devolução para a fatura {0}",""
"{0} created and selected","{0} criado e selecionado",""
"All cached data has been cleared successfully","Todos os dados em cache foram limpos com sucesso",""
"Failed to clear cache. Please try again.","Falha ao limpar o cache. Por favor, tente novamente.",""
"Your point of sale system is ready to use.","Seu sistema de ponto de venda está pronto para uso.",""
"Shift Status","Status do Turno",""
"Shift is Open","O Turno Está Aberto",""
"<strong>POS Profile:<strong> {0}","<strong>Perfil PDV:<strong> {0}",""
"<strong>Company:<strong>","<strong>Empresa:<strong>",""
"<strong>Opened:<strong>","<strong>Aberto:<strong>",""
"Start Sale","Iniciar Venda",""
"No Active Shift","Nenhum Turno Ativo",""
"You need to open a shift before you can start making sales.","Você precisa abrir um turno antes de poder começar a fazer vendas.",""
"System Test","Teste do Sistema",""
"Test Connection","Testar Conexão",""
"✓ Connection successful: {0}","✓ Conexão bem-sucedida: {0}",""
"✗ Connection failed: {0}","✗ Conexão falhou: {0}",""
"Confirm Sign Out","Confirmar Saída",""
"Active Shift Detected","Turno Ativo Detectado",""
"You have an active shift open. Would you like to:","Você tem um turno ativo aberto. Gostaria de:",""
"Are you sure you want to sign out of POS Next?","Tem certeza de que deseja sair do POS Next?",""
"Sign Out Only","Apenas Sair",""
"TAX INVOICE","FATURA DE IMPOSTOS",""
"Invoice #:","Fatura #:",""
"Date:","Data:",""
"Customer:","Cliente:",""
"Status:","Status:",""
"PARTIAL PAYMENT","PAGAMENTO PARCIAL",""
"(FREE)","(GRÁTIS)",""
"Subtotal:","Subtotal:",""
"Tax:","Imposto:",""
"TOTAL:","TOTAL:",""
"Total Paid:","Total Pago:",""
"Change:","Troco:",""
"BALANCE DUE:","SALDO DEVEDOR:",""
"Thank you for your business!","Obrigado(a) pela preferência!",""
"Invoice - {0}","Fatura - {0}",""
"Offline invoice deleted successfully","Fatura offline excluída com sucesso",""
"Failed to delete offline invoice","Falha ao excluir fatura offline",""
"Cannot sync while offline","Não é possível sincronizar estando offline",""
"{0} invoice(s) synced successfully","{0} fatura(s) sincronizada(s) com sucesso",""
"Loading customers for offline use...","Carregando clientes para uso offline...",""
"Data is ready for offline use","Dados prontos para uso offline",""
"Some data may not be available offline","Alguns dados podem não estar disponíveis offline",""
"POS is offline without cached data. Please connect to sync.","O PDV está offline sem dados em cache. Por favor, conecte-se para sincronizar.",""
"{0} applied successfully","{0} aplicado com sucesso",""
"Discount has been removed from cart","Desconto foi removido do carrinho",""
"Add items to the cart before applying an offer.","Adicione itens ao carrinho antes de aplicar uma oferta.",""
"Your cart doesn't meet the requirements for this offer.","Seu carrinho não atende aos requisitos desta oferta.",""
"Failed to apply offer. Please try again.","Falha ao aplicar oferta. Por favor, tente novamente.",""
"Offer has been removed from cart","Oferta foi removida do carrinho",""
"Failed to update cart after removing offer.","Falha ao atualizar o carrinho após remover a oferta.",""
"Unit changed to {0}","Unidade alterada para {0}",""
"Failed to update UOM. Please try again.","Falha ao atualizar a UDM. Por favor, tente novamente.",""
"{0} updated successfully","{0} atualizado com sucesso",""
"Failed to update item. Please try again.","Falha ao atualizar item. Por favor, tente novamente.",""
"{0}h {1}m {2}s","{0}h {1}m {2}s",""
"Sync Complete","Sincronização Concluída",""
"Search by phone: {0}","Buscar por telefone: {0}",""
"Search by email: {0}","Buscar por e-mail: {0}",""
"Create new customer: {0}","Criar novo cliente: {0}",""
"From {0}","De {0}",""
"Until {0}","Até {0}",""
"Validation Error","Erro de Validação",""
"Permission Denied","Permissão Negada",""
"Not Found","Não Encontrado",""
"Server Error","Erro do Servidor",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","Estoque insuficiente disponível no depósito.\n\nPor favor, reduza a quantidade ou verifique a disponibilidade de estoque.",""
"Pricing Error","Erro de Preço",""
"Customer Error","Erro do Cliente",""
"Tax Configuration Error","Erro de Configuração de Imposto",""
"Payment Error","Erro de Pagamento",""
"Naming Series Error","Erro na Série de Nomenclatura",""
"Connection Error","Erro de Conexão",""
"Unable to connect to server. Check your internet connection.","Não foi possível conectar ao servidor. Verifique sua conexão com a internet.",""
"Duplicate Entry","Entrada Duplicada",""
"Error Report - POS Next","Relatório de Erro - POS Next",""
"Title: {0}","Título: {0}",""
"Type: {0}","Tipo: {0}",""
"Message: {0}","Mensagem: {0}",""
"Technical: {0}","Técnico: {0}",""
"Timestamp: {0}","Data e Hora: {0}",""
"User: {0}","Usuário: {0}",""
"POS Profile: {0}","Perfil PDV: {0}",""
"Partial Payments","Pagamentos Parciais",""
"Manage invoices with pending payments","Gerenciar faturas com pagamentos pendentes",""
"{0} invoice - {1} outstanding","{0} fatura - {1} pendente",""
"{0} invoices - {1} outstanding","{0} faturas - {1} pendente",""
"Loading invoices...","Carregando faturas...",""
"No Partial Payments","Nenhum Pagamento Parcial",""
"All invoices are either fully paid or unpaid","Todas as faturas estão totalmente pagas ou não pagas",""
"Add Payment","Adicionar Pagamento",""
"Payment History","Histórico de Pagamentos",""
"Failed to load partial payments","Falha ao carregar pagamentos parciais",""
"Payment added successfully","Pagamento adicionado com sucesso",""
"Failed to add payment","Falha ao adicionar pagamento",""
"Open POS Shift","Abrir Turno PDV",""
"Select POS Profile","Selecionar Perfil PDV",""
"No POS Profiles available. Please contact your administrator.","Nenhum Perfil PDV disponível. Por favor, contate seu administrador.",""
"Change Profile","Alterar Perfil",""
"Opening Balance (Optional)","Saldo de Abertura (Opcional)",""
"No payment methods configured for this POS Profile","Nenhum método de pagamento configurado para este Perfil PDV",""
"Existing Shift Found","Turno Existente Encontrado",""
"You have an open shift. Would you like to resume it or close it and open a new one?","Você tem um turno aberto. Gostaria de retomá-lo ou fechá-lo e abrir um novo?",""
"<strong>POS Profile:</strong> {0}","<strong>Perfil PDV:</strong> {0}",""
"<strong>Opened:</strong> {0}","<strong>Aberto:</strong> {0}",""
"Resume Shift","Retomar Turno",""
"Close & Open New","Fechar e Abrir Novo",""
"Back","Voltar",""
"At least {0} items required","Pelo menos {0} itens necessários",""
"Maximum {0} items allowed for this offer","Máximo de {0} itens permitido para esta oferta",""
"Minimum cart value of {0} required","Valor mínimo do carrinho de {0} necessário",""
"Maximum cart value exceeded ({0})","Valor máximo do carrinho excedido ({0})",""
"Cart does not contain eligible items for this offer","O carrinho não contém itens elegíveis para esta oferta",""
"Cart does not contain items from eligible groups","O carrinho não contém itens de grupos elegíveis",""
"Cannot save an empty cart as draft","Não é possível salvar um carrinho vazio como rascunho",""
"Invoice saved as draft successfully","Fatura salva como rascunho com sucesso",""
"Failed to save draft","Falha ao salvar rascunho",""
"Draft invoice loaded successfully","Fatura rascunho carregada com sucesso",""
"Failed to load draft","Falha ao carregar rascunho",""
"Close POS Shift","Fechar Turno PDV",""
"Loading shift data...","Carregando dados do turno...",""
"Calculating totals and reconciliation...","Calculando totais e conciliação...",""
"Duration","Duração",""
"Total Sales","Vendas Totais",""
"{0} invoices","{0} faturas",""
"Net Amount","Valor Líquido",""
"Before tax","Antes do imposto",""
"Items Sold","Itens Vendidos",""
"Total items","Total de itens",""
"Tax Collected","Imposto Arrecadado",""
"Total tax","Total de imposto",""
"No Sales During This Shift","Nenhuma Venda Durante Este Turno",""
"No invoices were created. Closing amounts should match opening amounts.","Nenhuma fatura foi criada. Os valores de fechamento devem corresponder aos valores de abertura.",""
"Invoice Details","Detalhes da Fatura",""
"{0} transactions • {1}","{0} transações • {1}",""
"N/A","N/D",""
"Total:","Total:",""
"Payment Reconciliation","Conciliação de Pagamento",""
"✓ Shift Closed","✓ Turno Fechado",""
"Total Variance","Variação Total",""
"Enter actual amount for {0}","Insira o valor real para {0}",""
"Expected: <span class=""font-medium"">{0}</span>","Esperado: <span class=""font-medium"">{0}</span>",""
"✓ Balanced","✓ Balanceado",""
"Over {0}","Sobra de {0}",""
"Short {0}","Falta de {0}",""
"Opening","Abertura",""
"Shift start","Início do turno",""
"Expected","Esperado",""
"No sales","Sem vendas",""
"Actual Amount *","Valor Real *",""
"Final Amount","Valor Final",""
"Count & enter","Contar e inserir",""
"Cash Over","Sobra de Caixa",""
"Cash Short","Falta de Caixa",""
"You have more than expected.","Você tem mais do que o esperado.",""
"You have less than expected.","Você tem menos do que o esperado.",""
"Total Expected","Total Esperado",""
"Total Actual","Total Real",""
"Net Variance","Variação Líquida",""
"Tax Summary","Resumo de Impostos",""
"Total Tax Collected","Total de Imposto Arrecadado",""
"Error Closing Shift","Erro ao Fechar o Turno",""
"Dismiss","Dispensar",""
"Failed to Load Shift Data","Falha ao Carregar Dados do Turno",""
"Please enter all closing amounts","Por favor, insira todos os valores de fechamento",""
"✓ Shift closed successfully","✓ Turno fechado com sucesso",""
"Closing Shift...","Fechando Turno...",""
"{0}h {1}m","{0}h {1}m",""
"{0}m","{0}m",""
"-- Select --","-- Selecionar --",""
"Select Customer","Selecionar Cliente",""
"Search and select a customer for the transaction","Busque e selecione um cliente para a transação",""
"Search customers by name, mobile, or email...","Buscar clientes por nome, celular ou e-mail...",""
"Search customers","Buscar clientes",""
"⭐ Recent & Frequent","⭐ Recentes e Frequentes",""
"{0} of {1} customers","{0} de {1} clientes",""
"• Use ↑↓ to navigate, Enter to select","• Use ↑↓ para navegar, Enter para selecionar",""
"Loading customers...","Carregando clientes...",""
"No customers available","Nenhum cliente disponível",""
"Create your first customer to get started","Crie seu primeiro cliente para começar",""
"No results for ""{0}""","Nenhum resultado para ""{0}""",""
"Try a different search term or create a new customer","Tente um termo de busca diferente ou crie um novo cliente",""
"+ Create New Customer","+ Criar Novo Cliente",""
"All Items","Todos os Itens",""
"Syncing catalog in background... {0} items cached","Sincronizando catálogo em segundo plano... {0} itens em cache",""
"Search items","Buscar itens",""
"Barcode Scanner: ON (Click to disable)","Leitor de Código de Barras: LIGADO (Clique para desabilitar)",""
"Barcode Scanner: OFF (Click to enable)","Leitor de Código de Barras: DESLIGADO (Clique para habilitar)",""
"Disable barcode scanner","Desabilitar leitor de código de barras",""
"Enable barcode scanner","Habilitar leitor de código de barras",""
"Auto-Add: ON - Press Enter to add items to cart","Adição Automática: LIGADA - Pressione Enter para adicionar itens ao carrinho",""
"Auto-Add: OFF - Click to enable automatic cart addition on Enter","Adição Automática: DESLIGADA - Clique para habilitar adição automática ao carrinho no Enter",""
"Disable auto-add","Desabilitar adição automática",""
"Enable auto-add","Habilitar adição automática",""
"Auto","Auto",""
"Grid View","Visualização em Grade",""
"Switch to grid view","Mudar para visualização em grade",""
"List View","Visualização em Lista",""
"Switch to list view","Mudar para visualização em lista",""
"Sorted by {0} A-Z","Ordenado por {0} A-Z",""
"Sorted by {0} Z-A","Ordenado por {0} Z-A",""
"Sort items","Ordenar itens",""
"Sort Items","Ordenar Itens",""
"No Sorting","Sem Ordenação",""
"Loading items...","Carregando itens...",""
"No results for {0} in {1}","Nenhum resultado para {0} em {1}",""
